Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Cluster,type
258,258,sausage mcgriddles mcdonalds,0.9225636672262212,1.0558740688178785,0.6634281333192311,1.1197449208398305,0.3833142863439744,1.3014204516401784,1.6769048609334296,-0.3710164729189056,0.1400898674670155,-0.4165475813577504,0.6715377772731543,-0.537864344593263,-0.4777585908559531,0.6910946617445286,-0.3123581954876645,-0.0941468684180523,-0.0020923077900047,0.0870618908737179,-0.2418517535661661,-0.4258209501808955,-0.4158168809145781,-0.12274430601931,-0.447064912586931,-0.0604436446387054,-0.0572036404823154,-0.1912341133466467,0.1961755904552739,-0.3458003080422158,-0.25722249104936,0.8501399734965822,-0.3987265003956427,-0.2289743075066707,-0.1002444020209926,0.1141751018045393,0,Breakfast
262,262,english muffin mcdonalds,-0.7051294536392534,-0.67558146091909,-0.4863976422667701,2.059122852742993,-0.3087933829828375,-0.6373193277896705,-0.1622934707021198,-0.6723611724257657,-0.4168263575013636,-0.5835006910434111,-0.8531291721914973,-1.1497074315529918,1.3145273422055508,-0.7197093404569588,-0.7154246257305288,4.233215525367823,8.474831164950233,-0.5682052853968281,-0.4324172502954178,-0.6288841499573213,-0.4158168809145781,0.0912181711497956,-0.447064912586931,23.40729768623093,-0.5561068659364047,-0.1528930240726434,6.147629504876183,-0.7568021054951252,5.154220764845075,-0.6030314774601576,-0.9142672633400226,-0.2257041067195879,-0.2537665681977351,-0.6427472914601545,0,Breakfast
263,263,french fries mcdonalds,0.7065426666175316,0.5851096621152004,-0.1896684098574794,0.8307055571773191,0.9600706774496512,1.676342139265289,-0.3368159401273909,-0.762235907366408,1.6251998007160269,-0.8788792697180416,-0.5872171861651546,-0.6645305659231885,-0.1670956957919591,-0.7387742594056275,1.4633128350417106,-1.109207183009801,-0.6802461856092238,-0.6123938154889188,1.1134632016203223,0.7925582484776591,-0.3367495784437816,4.584430191701014,-0.447064912586931,0.1652077143119641,-0.5565587072485662,0.3072000472153952,-0.7603080743623721,-0.7435439829966443,3.1596946896181977,-0.9018028702332204,-0.5230039468255443,4.331647710159056,-0.2430200165653631,-0.3613816242355775,0,Breakfast
264,264,hotdog,0.731661387618542,0.9760834914106448,0.8117927495238765,1.2281346822132726,0.1526117299017038,0.6255747778949129,-0.3636655508082019,-0.1066790172111338,-0.5096457283294268,0.1171315897741906,0.8288821477029431,-0.2042345651974776,-0.4777585908559531,1.1677176354612475,0.330369355440146,0.0394136992913881,0.6760615700292143,0.3558894503693265,-0.1186413030946671,-0.4380047421674811,-0.3762832296791799,-0.12274430601931,-0.447064912586931,-0.0604436446387054,-0.3382841450606602,-0.1912341133466467,1.1526592552729205,-0.3170743759621737,-0.2731151290989766,-0.2722048320924609,-0.318420099630558,-0.2283856713649958,0.2221521469501665,-0.1908370324607065,0,Breakfast
271,271,mcchicken mcdonalds,0.60606778261349,0.5212772001894135,-0.1154861017551568,0.3248866707679239,1.2484488730024896,1.0251623660216758,0.2673003001908552,-0.2494212432933306,0.2793189237091104,-0.3737390916947605,0.3568490364135772,-0.4666145950951801,0.1196700534978815,-0.7387742594056275,2.55268156542783,-1.109207183009801,-0.5649600263799566,-0.5682052853968281,1.688445303820651,-0.6288841499573213,-0.4158168809145781,-0.12274430601931,-0.447064912586931,-0.0604436446387054,-0.5565763114555334,2.4069385245152186,-0.7603080743623721,-0.712608363833522,1.800874136375983,-0.9009809406795118,-0.4347985558212709,1.253080689199272,-0.2537665681977351,-0.402205090416447,0,Breakfast
272,272,nachos supreme taco bell,1.218964575038144,1.2633295700766856,0.7561560184471343,1.7520185288515744,0.1814495494569875,1.4395494944494296,-0.3636655508082019,-0.1912670030376207,3.203129104793101,-0.3494809475523995,0.3568490364135772,0.0366574450103269,-0.4777585908559531,0.2144716880278099,-0.3777203193108316,0.0661258128332763,0.3369846311196046,-0.2993777259012195,-0.2418517535661661,-0.0196945506280439,-0.4158168809145781,-0.12274430601931,0.6959878393290356,-0.0500072692872369,0.2790367125936587,-0.1889787551540583,1.418349162166711,1.2186581467785358,-0.2413298529997435,0.6758909081103667,0.3282439012843535,-0.2286145854200916,0.1607432804794695,0.5155068574167049,0,Breakfast
276,276,sausage biscuit mcdonalds,1.0180148070300608,1.5106803600391097,1.6277981386494258,1.1378098810687378,0.5275033841203937,0.7883697212058163,-0.0548950279788761,-0.376303222033061,0.1400898674670155,-0.3951433365262555,0.6715377772731543,-0.6905423792320123,-0.1850185551225741,1.644340609177966,0.3739441046555909,-0.3345558902950454,0.3369846311196046,0.2214756706215222,-0.2007816034089997,-0.4258209501808955,-0.4158168809145781,-0.12274430601931,0.2877547136447619,-0.0604436446387054,-0.1786726685568819,-0.1927903104995326,0.4618654973490645,-0.4275587301161817,-0.2651688100741683,0.6500001271685469,-0.3689736371613654,-0.2289743075066707,-0.1002444020209926,-0.019334595562441,0,Breakfast
277,277,sausage burrito mcdonalds,0.5106166428096505,0.5053190847079668,0.4408812090122631,0.4513413923702727,0.0660982712358522,0.4134480335807055,-0.1757182760425253,-0.2864284870924186,0.0472704966389523,1.5883166845256111,0.3568490364135772,-0.518638221712828,-0.4538614450817997,0.2144716880278099,-0.2252086970567749,-0.1475710955018286,0.3369846311196046,-0.2993777259012195,-0.0775711529375007,0.1833686491483818,-0.237915450355286,-0.12274430601931,-0.2837716623132215,-0.0604436446387054,0.6369889209293379,-0.1933767036296056,0.1430376090765159,-0.3391712467929753,-0.2651688100741683,0.1141020581505637,-0.5066793669978877,-0.2289743075066707,-0.0541877521679699,0.6258837923902001,0,Breakfast
279,279,onion rings burger king,0.7115664108177338,0.9760834914106448,0.0143329374239078,0.4152114719124588,2.574988572545546,1.1780909491319185,0.2941499108716662,-0.7886696529371853,0.6505964070213632,-0.8788792697180416,0.1995046659837884,-0.8975059372978725,-0.4777585908559531,-0.2621512856889088,-0.7154246257305288,-1.109207183009801,-0.4666277140961698,-0.5178001179914015,-0.3239920538804987,-0.4258209501808955,-0.1588481478844895,-0.12274430601931,3.2270332185715334,-0.0604436446387054,0.0578105117042307,-0.1932188285561245,-0.4414801860898235,-0.3811553013714983,-0.25722249104936,-0.3120684154473262,-0.5140517578877972,-0.2288238782704649,-0.1770054851093638,0.1644753485079307,0,Breakfast
281,281,hotcakes with syrup mcdonalds,1.826837623262596,0.5611724888930303,-0.3565786030877054,-0.3796467781594478,0.7005303014520965,4.241595791437099,5.744620879076287,-0.4978984516586361,0.4185479799512052,-0.5949162882868752,0.0421602955539998,-0.1352467125088575,-0.4777585908559531,1.1677176354612475,0.3739441046555909,-1.109207183009801,0.6760615700292143,-0.0809553338110374,0.0045691473768318,-0.4258209501808955,-0.4158168809145781,-0.12274430601931,-0.447064912586931,-0.0604436446387054,0.1828003811722629,-0.1912341133466467,0.674417422864097,-0.1292509739003603,-0.2492761720245518,0.7046584424901664,-0.186770262310747,-0.2289743075066707,-0.1616532684916896,0.613966914793556,0,Breakfast
